house_id,area,bedrooms,bathrooms,stories,has_pool,quality,price
0,2498,2,2,3,1,2,766194
1,4802,3,3,1,0,2,1036118
2,3927,4,3,2,0,3,1019949
3,3394,3,3,2,0,1,776945
4,1624,4,4,2,0,1,553951
5,1623,3,2,2,0,3,647906
6,1232,3,2,1,0,2,498390
7,4464,4,4,1,0,3,1099422
8,3404,2,2,1,0,2,802784
9,3832,3,2,2,0,3,949877
10,1082,2,1,1,0,2,423267
11,4879,5,2,1,1,2,1113611
12,4329,4,1,3,1,3,1133100
13,1849,1,1,1,1,2,559300
14,1727,3,1,3,0,1,528012
15,1733,4,2,2,0,1,511866
16,2216,2,2,2,1,1,616434
17,3099,3,1,1,0,1,662133
18,2727,4,1,1,0,2,704046
19,2164,1,1,2,0,2,598985
20,3447,3,3,2,0,2,857838
21,1557,2,2,2,0,2,549089
22,2168,4,2,1,0,2,630505
23,2465,5,2,2,0,1,658943
24,2824,4,3,2,0,1,717488
25,4140,3,1,2,0,1,859612
26,1798,4,1,2,1,2,653956
27,3056,4,4,2,0,1,769480
28,3369,2,2,2,0,1,731288
29,1185,4,1,1,1,2,521582
30,3430,1,1,2,0,3,865259
31,1682,3,3,1,0,1,485806
32,1260,2,1,1,0,2,460222
33,4795,2,2,1,0,2,997948
34,4862,1,1,1,0,2,963066
35,4233,3,3,1,1,3,1073334
36,2218,2,1,1,0,1,508673
37,1390,3,2,2,0,1,467969
38,3736,1,1,3,0,3,921428
39,2760,2,2,1,0,2,701221
40,1488,3,3,3,0,2,596409
41,2980,3,3,2,0,2,785354
42,1137,2,2,1,0,2,453183
43,4637,3,3,1,0,3,1085663
44,2035,4,1,2,0,3,723554
45,3650,3,2,2,0,2,885711
46,2246,2,2,2,1,1,620423
47,3080,1,1,1,0,3,768282
48,3186,4,4,1,0,1,742485
49,1739,1,1,1,0,1,425134
50,4878,4,4,1,0,3,1162517
51,4100,3,2,1,0,1,830436
52,4757,4,1,1,0,1,934821
53,4579,3,1,2,1,1,990334
54,3391,5,2,3,1,3,1027607
55,4687,2,1,1,0,2,956703
56,1353,3,2,3,0,2,565716
57,1783,3,1,1,1,1,521889
58,1180,3,3,2,1,2,553104
59,2301,3,3,1,1,2,715559
60,2554,4,2,2,0,2,720630
